cell_id,task_id,domain_ops,condition,evaluator_status,failure_category,prompt_hash,api_attempts,wall_clock_seconds,total_token_count,prompt_token_count,candidates_token_count,latex_g6_status,first_attempt_evaluator_outcome,pipeline_correction_applied,healer_enabled,healer_attempted,validity,validity_note
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab1__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,PolynomialOps,ab1,INTRINSIC_SAFETY,model_generated_failure,447f8b48f394c373b3fa8d7fa4d11932cdce5b411bbf27f61cc9e822b2670cd4,1,16.75,5123,210,859,NOT_OBSERVED,INTRINSIC_SAFETY,False,False,False,VALID_MODEL_OUTCOME,model answer wrong/type/latex; runner mislabeled as INTRINSIC_SAFETY
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab2d__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,PolynomialOps,ab2d,PASSED,none,8aadc12d79f7b01c99c6a186e69b21c493bc6c9620394ecd8969e698c68d14c2,1,8.5,2416,389,453,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,PolynomialOps,ab2g,INTRINSIC_SAFETY,model_generated_failure,1ddb92a07ec3df5f46360fdf5c9881eb4745bf1f339bac0c6d00e5e41217ac17,1,10.79700000000048,3432,276,613,NOT_OBSERVED,INTRINSIC_SAFETY,False,False,False,VALID_MODEL_OUTCOME,model answer wrong/type/latex; runner mislabeled as INTRINSIC_SAFETY
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,RadicalOps,ab1,PASSED,none,8371aff72b11bd70ea327920302233f5b7d60c0e6e594daa5ce635ef386d56fb,1,8.983999999999469,2106,197,185,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab2d__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,RadicalOps,ab2d,EXECUTION_FAILURE,execution_failure,2b0da175c9d224bf9967603144a089410d3086eb51522824036dcd89ee6a63f4,1,9.67199999999957,2738,421,410,NOT_OBSERVED,EXECUTION_FAILURE,False,False,False,VALID_MODEL_OUTCOME,valid model/runtime failure
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab2g__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,RadicalOps,ab2g,PASSED,none,6179a8fb58654189712d53044e6df49b7171ccf57f1b1666d3e735f38758a766,1,10.016000000000531,2817,263,288,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q01_negative_integer_power__ab1__seed_2026071301,ce112_q01_negative_integer_power,IntegerOps,ab1,PASSED,none,d7f97e59388da3962bab6c3b0b55ebacdb7679340bf7955215431120c98301c9,1,5.594000000000051,1186,146,102,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q01_negative_integer_power__ab2d__seed_2026071301,ce112_q01_negative_integer_power,IntegerOps,ab2d,PASSED,none,8a4df1b0699049cabda30118b0876d49ca8344a961a8e64121f22e8cfd04a0e7,1,6.594000000000051,1762,327,152,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q01_negative_integer_power__ab2g__seed_2026071301,ce112_q01_negative_integer_power,IntegerOps,ab2g,PASSED,none,cf486895c58fc5f91aaf2ba8cb03259f0eb98cb10d99a9d8a5734721bfdd7edb,1,5.125,1207,212,105,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q04_radical_simplification__ab1__seed_2026071301,ce112_q04_radical_simplification,RadicalOps,ab1,PASSED,none,f696edca9ba89d8daf6ae0a01bef98c0098c508517ba9d6e631b287fa5764d53,1,8.70299999999952,2093,146,263,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q04_radical_simplification__ab2d__seed_2026071301,ce112_q04_radical_simplification,RadicalOps,ab2d,INTRINSIC_SAFETY,model_generated_failure,cc6a10724c242aeba2b86f81d0678f84a11a078fc8369271dbfa7a3b16112d08,1,6.405999999999949,1728,336,202,NOT_OBSERVED,INTRINSIC_SAFETY,False,False,False,VALID_MODEL_OUTCOME,model answer wrong/type/latex; runner mislabeled as INTRINSIC_SAFETY
gemini_3_5_flash__ce112_q04_radical_simplification__ab2g__seed_2026071301,ce112_q04_radical_simplification,RadicalOps,ab2g,PASSED,none,6d252e1058c14eee07326788693fec710a5247c404e7dd74f3d22156235a82f4,1,9.530999999999949,2423,212,217,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab1__seed_2026071301,ce112_q09_divisor_multiple_intersection,IntegerOps,ab1,PASSED,none,7eafd0610772ae6f3576a2d7d24017b28f0195d01e3b713feb8a6b629a79148e,1,7.95299999999952,2146,159,209,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab2d__seed_2026071301,ce112_q09_divisor_multiple_intersection,IntegerOps,ab2d,PASSED,none,78c63decbfa1be9987b1ce67df5377b3cbf2ea2801aa0ae511377dc07c49ae7e,1,7.860000000000582,2292,343,209,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab2g__seed_2026071301,ce112_q09_divisor_multiple_intersection,IntegerOps,ab2g,PASSED,none,8465217dde30310c3f927c2ec00e152e065f40c5508cd0339ae46a541c19496e,1,6.719000000000051,1862,225,196,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab1__seed_2026071301,ce112_q12_independent_probability_fraction,FractionOps,ab1,PASSED,none,ce709937aef3026d48af8ea0b6eb6dbc53d0c07731b232df03b0657672d7d74c,1,10.655999999999949,2811,161,340,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab2d__seed_2026071301,ce112_q12_independent_probability_fraction,FractionOps,ab2d,PASSED,none,b5b6e496b81d62a6e97f1b829046862781947c967669bc7c86dedf9b8b16340d,1,10.688000000000102,3055,378,362,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab2g__seed_2026071301,ce112_q12_independent_probability_fraction,FractionOps,ab2g,PASSED,none,d68af74fd5f59ae1178e9835684479397bd58a2b1f31fd9ef7b022e34b96fcf1,1,8.561999999999898,2396,227,359,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab1__seed_2026071301,ce113_q01_negative_fraction_subtraction,FractionOps,ab1,PASSED,none,d690b208e09d5f893ecd8b8abc38b4abb7d044968dc42c60dde3de96c0ad410d,1,9.57799999999952,2561,157,383,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab2d__seed_2026071301,ce113_q01_negative_fraction_subtraction,FractionOps,ab2d,PASSED,none,71e3be67a29e0cfeea93e23d01891610ab6b0253117e2a7c9daafbb055223489,1,7.405999999999949,1961,374,259,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026071301,ce113_q01_negative_fraction_subtraction,FractionOps,ab2g,PASSED,none,b0fe97bca3b7957bb481e88060e49681e6c7ccd67ff19c2eaf13d3ec47559a0b,1,5.3289999999997235,1405,223,214,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab1__seed_2026071301,ce113_q11_rationalize_denominator,RadicalOps,ab1,PARSE_MINOR,model_generated_failure,16c617438948cbd476c48addcd9cfc9b61c804e3e01b852d5a0eafb883cb34ce,1,10.217999999999847,2602,160,317,NOT_OBSERVED,PARSE_MINOR,False,False,False,VALID_MODEL_OUTCOME,valid model/runtime failure
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab2d__seed_2026071301,ce113_q11_rationalize_denominator,RadicalOps,ab2d,PASSED,none,fcefc27319f84bc6b491910fc53452daebfc6e9987b16482865e81b380c2be9d,1,16.60900000000038,4912,373,460,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab2g__seed_2026071301,ce113_q11_rationalize_denominator,RadicalOps,ab2g,PASSED,none,61d3826e10d9cccb5d18a02c8aa951421bd38216d4cd773792201aac261778a7,1,6.453000000000429,1584,226,319,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab1__seed_2026071301,ce115_calc_exact_rational_expression_l1,FractionOps,ab1,PASSED,none,c7bff96c64c0aa9785092575c7f89ece51cd11d03c72c8f801c6b629d791a0ec,1,17.985000000000582,5227,200,535,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071301,ce115_calc_exact_rational_expression_l1,FractionOps,ab2d,PASSED,none,64d37e12834aed2bc9e2b6cbf85b441c9006bab8a0387748ff204e23d293fcaa,1,15.375,4929,413,640,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab2g__seed_2026071301,ce115_calc_exact_rational_expression_l1,FractionOps,ab2g,PASSED,none,5f397d56fab2649201b606af7abf51780a93d6d74269fd5f5d216a538aa8b8d9,1,12.467999999999847,3702,266,568,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab1__seed_2026071301,ce115_calc_polynomial_division_l1,PolynomialOps,ab1,PASSED,none,fdf193cdb3bf18cbd3e37627168fd1824042198d278b2a45114ddc8bacd8ff86,1,19.625,5273,178,857,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab2d__seed_2026071301,ce115_calc_polynomial_division_l1,PolynomialOps,ab2d,INTRINSIC_SAFETY,model_generated_failure,579c7541d423641a661a23ab48b70f8dd4fe88f7f86111718d315be72644029c,1,11.92199999999957,4001,344,584,NOT_OBSERVED,INTRINSIC_SAFETY,False,False,False,INVALID_EVALUATOR,structure-correct; latex exact-string false negative
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab2g__seed_2026071301,ce115_calc_polynomial_division_l1,PolynomialOps,ab2g,PASSED,none,3d60a095612840e6d08496d68f759c891c049481c5af862609bd89ece29121b6,1,17.84400000000005,5829,244,1106,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_polynomial_factor_roots_l1__ab1__seed_2026071301,ce115_calc_polynomial_factor_roots_l1,PolynomialOps,ab1,INTRINSIC_SAFETY,model_generated_failure,62fcdc20f64c26274f92f2d05134f84475477eacfec37cfadae8f5dd3505e50e,1,10.92199999999957,2862,161,177,NOT_OBSERVED,INTRINSIC_SAFETY,False,False,False,INVALID_EVALUATOR,structure-correct; latex exact-string false negative
gemini_3_5_flash__ce115_calc_polynomial_factor_roots_l1__ab2d__seed_2026071301,ce115_calc_polynomial_factor_roots_l1,PolynomialOps,ab2d,EXECUTION_FAILURE,execution_failure,b22c51d4d0395e246ca42487f4220df0ae86c286999e8af758476d35fbc7d21c,1,10.235000000000582,2533,350,267,NOT_OBSERVED,EXECUTION_FAILURE,False,False,False,VALID_MODEL_OUTCOME,valid model/runtime failure
gemini_3_5_flash__ce115_calc_polynomial_factor_roots_l1__ab2g__seed_2026071301,ce115_calc_polynomial_factor_roots_l1,PolynomialOps,ab2g,INTRINSIC_SAFETY,model_generated_failure,9aa875c3c2de0b79cb0cf0bb5ec18ef9a02ead452db9d4d044500f175a8f485f,1,14.70300000000043,4064,227,564,NOT_OBSERVED,INTRINSIC_SAFETY,False,False,False,INVALID_EVALUATOR,structure-correct; latex exact-string false negative
gemini_3_5_flash__ce115_calc_radical_simplification_l1__ab1__seed_2026071301,ce115_calc_radical_simplification_l1,RadicalOps,ab1,PASSED,none,2a445d5de76c068590ce05619f521eff42098c71257319bf12d82796d4d92f86,1,8.67199999999957,2381,151,266,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_radical_simplification_l1__ab2d__seed_2026071301,ce115_calc_radical_simplification_l1,RadicalOps,ab2d,PASSED,none,620966142123fb8736f86b1b977e57886e4a03be372e95d892745eb8f00a5ba4,1,7.358999999999469,2248,316,317,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce115_calc_radical_simplification_l1__ab2g__seed_2026071301,ce115_calc_radical_simplification_l1,RadicalOps,ab2g,PASSED,none,a88ec9aa5f19dc7b5348cdd1cfdc9b503c1fbefcc0ad12889e21eeff5cb19621,1,9.688000000000102,2445,217,261,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
