entry_id,path,line_or_section,artifact_type,existing_model_order,target_model_order,units_to_move,values_must_move_with_model,color_remap_risk,needs_regeneration,generator_or_source,classification,modification_risk,suggested_verification,notes
MO-011,docs/決賽文件/實驗結果文件/20260724_Math16/README.md,L55–57 成果摘要條列,markdown_bullets,"topic-ordered (Gemini item, then Qwen 4B/9B item) — not a trio parallel table",optional narrative alignment; not a strict trio column,none required for table schema,n/a,no,no,n/a,E,low — 依主題（Gemini spec 歷程 / Qwen Primary / Healer）非三模型並列,若改寫並列句才檢查 G→9→4；否則保留,研究／主題邏輯條列，不機械重排。
MO-012,docs/決賽文件/實驗結果文件/20260724_Math16/05_math16_pilot02_appendices_v1.md,appendix body (model mentions),markdown,4B-centric / no trio parallel presentation found,n/a unless trio list added later,none,n/a,no,no,n/a,E,low,確認無三模型欄列表,附錄以 4B eligibility／機制為主。
MO-013,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/core_figure_spec.json,fig1 x_axis L19; exact_data key order L25–27; fig2 series/legend semantics; fig5 model order,figure_spec_json,G→4→9 (x_axis & object key insertion),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,x_axis string; JSON key insertion order for exact_data; any ordered arrays,yes (values stay with keys),indirect — consumers may iterate keys by insertion order,yes (downstream figures),scripts/build_math16_pilot02_core_figures_v1.py; extract_math16_pilot02_figure_data.py,C,high — frozen_at_utc spec; key order affects iterators; caption_report already narrates G→9→4 while x_axis is G→4→9（既有敘事/軸序不一致）,"x_axis 改為 G, 9B, 4B；exact_data key 序同步；caption 與軸一致",caption_report 已寫 9B then 4B；軸標仍 4B then 9B。
MO-014,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/figure_data_tables.json,fig1_baseline_overall.data / tier_designation; fig2 per-condition model keys; fig5 model keys,figure_data_json,G→4→9 (dict insertion),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,JSON object key order per model block,yes,indirect via insertion-order iteration,yes,scripts/extract_math16_pilot02_figure_data.py,C,medium-high — 若只改 key 名不改結構會壞；應整塊重排 key,"python 讀取後 list(data.keys()) == [G,9B,4B]",數值本身不因排序改變；78→79 屬另一 amendment。
MO-015,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/figure_caption_bank.md,Figure 1/2/5 captions; Figure 3/4 two-model captions,markdown_captions,Fig1 report caption already G→9→4; oral mixes; Fig2 G→4→9-ish in places,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,並列子句順序；非 2×2 統計句,n/a_text,no,no (text); figures separately,core_figure_spec.json captions mirrored,A,medium — 避免改壞 Figure 3/4 的 4B/9B 配對語意,三模型圖說統一 G→9→4；Fig3/4 維持 D,Fig3/4 captions → also tagged D in sibling entries.
MO-016,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/primary_posthoc_visual_governance.md,model enumeration / display order mentions,governance_md,G→4→9 mentions,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,治理文件中的呈現序列舉,n/a,no,no,gates figure regen,A,medium — 治理文件先改才能安全重製圖,文件明確規定全域呈現序 G→9→4,應新增一條 presentation-order rule，聲明不改排名語意。
MO-017,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/one_pager_figure_selection.md,model order in selection notes,governance_md,partially G→9→4 already in places,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,三模型並列句,n/a,no,no,one_pager build,A,low,與目標序一致,
MO-018,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/poster_and_oral_figure_order.md,oral talking points with model lists,governance_md,mixed; some G→9→4,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,三模型並列口語序,n/a,no,no,poster/oral,A,low,口語稿三模型序 = G→9→4,
MO-019,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/figure_spec_report.md,figure summary table mentioning 4B/9B,governance_md,Fig3 two-model wording,n/a for Fig3 row,none for D rows,n/a,no,no,n/a,D,low,Fig3/4 列保持兩模型,
MO-020,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/source_traceability.json,model→source map key order,json,G→4→9 keys (presentation-facing map),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,key insertion order if used for display,yes,no,no,extract_math16_pilot02_figure_data.py,C,low-medium,key 序 G→9→4；路徑仍指向同一 evidence,不修改 results/ 內 evidence。
MO-021,docs/experiments/reports/math16_method1_40_120_split_results_report_v1.md,entire report (Qwen 4B only),markdown_report,4B-only (no trio columns),n/a,none,n/a,no,no,n/a,D,none for model-order,確認未被誤改成三模型表,單模型 Method 1；不適用三模型全域排序。
MO-022,docs/experiments/reports/math16_method2_all_cell_results_report_v1.md,entire report (Qwen 4B only),markdown_report,4B-only,n/a,none,n/a,no,no,n/a,D,none,確認未強制插入 Gemini/9B 欄,單模型 Method 2。
MO-023,docs/experiments/reports/20260728_math16_method1_method2_progress_handoff.md,Method1/Method2 progress (4B-centric),markdown_handoff,no trio presentation,n/a,none,n/a,no,no,n/a,E,none,無需因模型序修改,進度交接，非三模型呈現。
MO-024,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_01_baseline_overall.svg,"Figure 1 bars/labels (comments L53 Gemini, L531 4B, L748 9B) + PNG twin",svg+png,Gemini → 4B → 9B (L→R),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,整支 bar + 標籤 + 顏色（隨模型身份）+ 數值標註,yes,yes — 顏色必須跟模型身份；不得讓藍/綠/琥珀換人,yes — structural remake,scripts/build_math16_pilot02_core_figures_v1.py::render_figure_1,B,critical — working-tree 已有 78→79 標籤修正；重製時必須保留 79/320 (24.7%) 且交換 4B/9B 位置，禁止還原 78,"L→R = G(藍289), 9B(琥珀101), 4B(綠79)；與 git diff 中 79 修正並存",判定：因新順序需要再次結構性重製（在 79 amendment 之上）。
MO-025,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_02_prompt_conditions.svg,Figure 2 grouped bars + legend (G left / 4B mid / 9B right within each condition),svg+png,"per-group x offsets: Gemini, 4B, 9B; legend series same",Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,bar series positions + legend entry order + labels,yes,yes — COLORS keyed by identity; must keep mapping when swapping series slots,yes — structural remake,scripts/build_math16_pilot02_core_figures_v1.py::render_figure_2,B,high — hatch Post-hoc Gemini bar 位置錨在 condition group 左側；4B/9B solid 對調,"每組條件內 L→R = G, 9B, 4B；legend 同序；顏色身份不變",數值本身無 78/320 標籤；與 baseline-79 無衝突。
MO-026,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_03_family_breakdown.svg,Figure 3 paired bars 4B vs 9B by family,svg+png,4B (left) → 9B (right) within family,n/a — two-model figure (D),none under trio rule,n/a,n/a,no for model-order (may still regen for 79 family cell separately),scripts/build_math16_pilot02_core_figures_v1.py::render_figure_3,D,medium if someone 'aligns' to 9B→4B and breaks pairing convention,保持 4B/9B 配對圖；不插入 Gemini,判定：新順序不要求處理 Figure 3（兩模型專用）。79 修正另案。
MO-027,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_04_tier1_paired_analysis.svg,"Figure 4 McNemar 2×2 (rows 4B, cols 9B) + stats panel",svg+png,2×2 axes: 4B rows × 9B cols (statistical structure),n/a — must NOT change quadrant definitions,none for global order,n/a,n/a,no for model-order,scripts/build_math16_pilot02_core_figures_v1.py::render_figure_4,D,critical if reoriented — would redefine McNemar b/c,軸標與象限定義不變；保留 working-tree 26→27 / 193→192 等 79 相關修正,判定：新順序不要求重製 Figure 4。本輪不得覆寫其 79 working-tree changes。
MO-028,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_05_healer_eligibility_boundary.svg,Figure 5 x categories L53 Gemini / L331 4B / L458 9B; posthoc overlay on 4B,svg+png,Gemini → 4B → 9B,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,整組 grouped bars per model + Post-hoc overlay + annotation anchor,yes,yes — FAIL/Eligible/Rescue 色是度量色；模型位置移動時 overlay 必須跟 4B,yes — structural remake,scripts/build_math16_pilot02_core_figures_v1.py::render_figure_5,B,"critical — generator 硬編碼 x index 1 = 4B 與 asserts [31,242,219]","L→R G,9B,4B；FAIL=[31,219,242]；Post-hoc dashed overlay 在 4B 欄；Eligible 僅 4B=10",判定：因新順序需要再次處理。
MO-029,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_06_healer_concept_zones.svg,Figure 6 conceptual zones (no model axis),svg+png,none,n/a,none,n/a,no,no,render_figure_6,E,none,無需因模型序重製,概念圖，無模型呈現序。
MO-030,docs/experiments/presentation/math16_pilot02_one_pager_v23/math16_pilot02_one_pager_v23.png,full one-pager,png,inherits from generator (G→4→9 for trio assets),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,full remake via one_pager builder,yes,yes,yes,scripts/build_math16_pilot02_one_pager_v23.py,B,high — 與核心 SVG 雙軌資產易不同步,regen 後目視 cards/bars = G→9→4,現行 One-Pager 渲染資產；未列入者亦應盤點（本列已列）。
MO-031,docs/experiments/presentation/math16_pilot02_one_pager_v23/math16_pilot02_one_pager_v23.pdf,full one-pager,pdf,inherits from generator (G→4→9 for trio assets),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,full remake via one_pager builder,yes,yes,yes,scripts/build_math16_pilot02_one_pager_v23.py,B,high — 與核心 SVG 雙軌資產易不同步,regen 後目視 cards/bars = G→9→4,現行 One-Pager 渲染資產；未列入者亦應盤點（本列已列）。
MO-032,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig1_compact_v23.png,compact fig1 G→4→9,png,inherits from generator (G→4→9 for trio assets),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,full remake via one_pager builder,yes,yes,yes,scripts/build_math16_pilot02_one_pager_v23.py,B,high — 與核心 SVG 雙軌資產易不同步,regen 後目視 cards/bars = G→9→4,現行 One-Pager 渲染資產；未列入者亦應盤點（本列已列）。
MO-033,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig5_compact_v23.png,compact fig5 G→4→9,png,inherits from generator (G→4→9 for trio assets),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,full remake via one_pager builder,yes,yes,yes,scripts/build_math16_pilot02_one_pager_v23.py,B,high — 與核心 SVG 雙軌資產易不同步,regen 後目視 cards/bars = G→9→4,現行 One-Pager 渲染資產；未列入者亦應盤點（本列已列）。
MO-034,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig3_compact_table_v23.png,compact fig3 two-model → D asset,png,inherits from generator (G→4→9 for trio assets),n/a,none for order,n/a,n/a,no for order,scripts/build_math16_pilot02_one_pager_v23.py,D,low,保持配對結構,現行 One-Pager 渲染資產；未列入者亦應盤點（本列已列）。
MO-035,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig4_compact_v23.png,compact fig4 two-model → D asset,png,inherits from generator (G→4→9 for trio assets),n/a,none for order,n/a,n/a,no for order,scripts/build_math16_pilot02_one_pager_v23.py,D,low,保持配對結構,現行 One-Pager 渲染資產；未列入者亦應盤點（本列已列）。
MO-036,docs/experiments/presentation/math16_pilot02_poster_v11/math16_pilot02_poster_v11.png,full poster,png,"poster cards Gemini,4B,9B; figures inherit",Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,cards + trio figures,yes,yes,yes,scripts/build_math16_pilot02_poster_v11.py,B,high,cards L→R G→9→4；fig1/2/5 同步,
MO-037,docs/experiments/presentation/math16_pilot02_poster_v11/math16_pilot02_poster_v11.pdf,full poster,pdf,"poster cards Gemini,4B,9B; figures inherit",Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,cards + trio figures,yes,yes,yes,scripts/build_math16_pilot02_poster_v11.py,B,high,cards L→R G→9→4；fig1/2/5 同步,
MO-038,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig1_compact_v11.png,fig1,png,"poster cards Gemini,4B,9B; figures inherit",Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,cards + trio figures,yes,yes,yes,scripts/build_math16_pilot02_poster_v11.py,B,high,cards L→R G→9→4；fig1/2/5 同步,
MO-039,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig2_compact_v11.png,fig2,png,"poster cards Gemini,4B,9B; figures inherit",Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,cards + trio figures,yes,yes,yes,scripts/build_math16_pilot02_poster_v11.py,B,high,cards L→R G→9→4；fig1/2/5 同步,
MO-040,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig5_compact_v11.png,fig5,png,"poster cards Gemini,4B,9B; figures inherit",Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,cards + trio figures,yes,yes,yes,scripts/build_math16_pilot02_poster_v11.py,B,high,cards L→R G→9→4；fig1/2/5 同步,
MO-041,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig3_compact_v11.png,fig3 D,png,"poster cards Gemini,4B,9B; figures inherit",n/a,none,n/a,n/a,no for order,scripts/build_math16_pilot02_poster_v11.py,D,low,cards L→R G→9→4；fig1/2/5 同步,
MO-042,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig4_compact_v11.png,fig4 D,png,"poster cards Gemini,4B,9B; figures inherit",n/a,none,n/a,n/a,no for order,scripts/build_math16_pilot02_poster_v11.py,D,low,cards L→R G→9→4；fig1/2/5 同步,
MO-043,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig6_compact_v11.png,fig6 no model order,png,"poster cards Gemini,4B,9B; figures inherit",n/a,none,n/a,n/a,no for order,scripts/build_math16_pilot02_poster_v11.py,E,low,cards L→R G→9→4；fig1/2/5 同步,
MO-044,docs/決賽文件/實驗結果文件/20260724_Math16/02_math16_pilot02_one_pager_v23.pdf,決賽文件 package copy of rendered asset,pdf,same as source render (G→4→9 for trio figs),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,replace after regen of canonical visualization/presentation outputs,yes,yes,yes (copy-forward),upstream core_figures / one_pager_v23 / poster_v11 builders,B,high — 易忘記同步 決賽 package 副本,SHA 或目視與 canonical 輸出一致,supporting_assets 尚有 fig3/4/6：fig3/4=D 不因序重製；fig6=E。
MO-045,docs/決賽文件/實驗結果文件/20260724_Math16/03_math16_pilot02_poster_v11.pdf,決賽文件 package copy of rendered asset,pdf,same as source render (G→4→9 for trio figs),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,replace after regen of canonical visualization/presentation outputs,yes,yes,yes (copy-forward),upstream core_figures / one_pager_v23 / poster_v11 builders,B,high — 易忘記同步 決賽 package 副本,SHA 或目視與 canonical 輸出一致,supporting_assets 尚有 fig3/4/6：fig3/4=D 不因序重製；fig6=E。
MO-046,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_01_baseline_overall.png,決賽文件 package copy of rendered asset,png,same as source render (G→4→9 for trio figs),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,replace after regen of canonical visualization/presentation outputs,yes,yes,yes (copy-forward),upstream core_figures / one_pager_v23 / poster_v11 builders,B,high — 易忘記同步 決賽 package 副本,SHA 或目視與 canonical 輸出一致,supporting_assets 尚有 fig3/4/6：fig3/4=D 不因序重製；fig6=E。
MO-047,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_02_prompt_conditions.png,決賽文件 package copy of rendered asset,png,same as source render (G→4→9 for trio figs),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,replace after regen of canonical visualization/presentation outputs,yes,yes,yes (copy-forward),upstream core_figures / one_pager_v23 / poster_v11 builders,B,high — 易忘記同步 決賽 package 副本,SHA 或目視與 canonical 輸出一致,supporting_assets 尚有 fig3/4/6：fig3/4=D 不因序重製；fig6=E。
MO-048,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_05_healer_eligibility_boundary.png,決賽文件 package copy of rendered asset,png,same as source render (G→4→9 for trio figs),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,replace after regen of canonical visualization/presentation outputs,yes,yes,yes (copy-forward),upstream core_figures / one_pager_v23 / poster_v11 builders,B,high — 易忘記同步 決賽 package 副本,SHA 或目視與 canonical 輸出一致,supporting_assets 尚有 fig3/4/6：fig3/4=D 不因序重製；fig6=E。
MO-049,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/02_math16_pilot02_one_pager_v23.png,決賽文件 package copy of rendered asset,png,same as source render (G→4→9 for trio figs),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,replace after regen of canonical visualization/presentation outputs,yes,yes,yes (copy-forward),upstream core_figures / one_pager_v23 / poster_v11 builders,B,high — 易忘記同步 決賽 package 副本,SHA 或目視與 canonical 輸出一致,supporting_assets 尚有 fig3/4/6：fig3/4=D 不因序重製；fig6=E。
MO-050,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/math16_pilot02_poster_v11.png,決賽文件 package copy of rendered asset,png,same as source render (G→4→9 for trio figs),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,replace after regen of canonical visualization/presentation outputs,yes,yes,yes (copy-forward),upstream core_figures / one_pager_v23 / poster_v11 builders,B,high — 易忘記同步 決賽 package 副本,SHA 或目視與 canonical 輸出一致,supporting_assets 尚有 fig3/4/6：fig3/4=D 不因序重製；fig6=E。
MO-051,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_03_family_breakdown.png,決賽 copy Figure 3,png,4B vs 9B,n/a,none for order,n/a,n/a,no for order,core figures builder,D,low,不因全域序重製,
MO-052,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_04_tier1_paired_analysis.png,決賽 copy Figure 4,png,McNemar 4B×9B,n/a,none for order,n/a,n/a,no for order,core figures builder,D,low — 但 79 WT 修正若只改 svg 需決定是否同步此 png,與 canonical fig4 策略一致,
MO-053,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/03_figure_06_healer_concept_zones.png,決賽 copy Figure 6,png,none,n/a,none,n/a,no,no,n/a,E,none,n/a,
MO-054,scripts/build_math16_pilot02_core_figures_v1.py,COLORS L42–45; render_figure_1 models/bar_colors L92–100; render_figure_2 series offsets L165–205; render_figure_5 models/asserts/index L461–485,python_generator,hardcoded G→4→9 lists + position-index binding for 4B posthoc,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,"models list, passes arrays, bar_colors arrays, legend label order, fig5 fails/eligibles arrays, posthoc x-index",yes,yes — COLORS dict is identity-safe; position arrays are NOT,yes (produces B artifacts),self,C,"critical — asserts baseline_pass==78 與 fig5 fails==[31,242,219]；重跑會碰到 frozen claims；且與 WT fig1/4 衝突風險","改後 models=[G,9B,4B]；顏色仍 gemini/qwen9b/qwen4b；fig5 overlay index 跟隨 4B；不改 frozen_numeric_claims.json",修改 generator 會讀 FROZEN_CLAIMS_PATH；不得為排序去改 frozen evidence。
MO-055,scripts/build_math16_pilot02_one_pager_v23.py,"fig1 colors/xticklabels L143–147; fig5 xticklabels L312; cards L440–442 Gemini,4B,9B",python_generator,G→4→9 bars + cards,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,"xtick labels, color arrays, card strip order, passes arrays",yes,yes,yes,self,C,high — cards 與 compact assets 必須同序；內嵌 fig3/4 維持 D,產出 one-pager 目視 G→9→4；fig3/4 不變結構,
MO-056,scripts/build_math16_pilot02_poster_v11.py,metric cards L174–178; body text L185『三模型：Qwen 4B、Qwen 9B、Gemini』,python_generator,cards G→4→9; prose 4B→9B→G,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,card widgets left-to-right; prose enumeration,yes for cards,yes (card fill colors per model),yes,self,C,high,cards 與文句皆 G→9→4,
MO-057,scripts/extract_math16_pilot02_figure_data.py,"dict construction for fig1/2/5 model keys L57–72, L84–101, L152–169, L205–224",python_extractor,G→4→9 insertion order,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,literal key insertion order in built JSON,yes,indirect,writes figure_data_tables.json / source_traceability.json,self → figure_data_tables.json,C,medium — 讀取 results/ evidence 但不應修改 evidence；只改輸出 key 序,輸出 JSON key 序 G→9→4；數值與來源 path 不變,讀 frozen results；禁止寫回 results/**。
MO-058,docs/experiments/reports/math16_pilot02_integrated_results_report_v1.md,McNemar 2×2 L133–137,markdown_table_2x2,rows 4B × cols 9B,n/a — statistical structure,none,n/a,n/a,no,tier1 paired analysis results (frozen),D,critical if flipped,"b=4B-only, c=9B-only 定義不變",
MO-059,docs/決賽文件/實驗結果文件/20260724_Math16/01_math16_pilot02_final_report_v13.md,§12 Qwen 4B與9B配對分析 + Figure 3/4 embeds,markdown_section_two_model,4B vs 9B pairing,n/a,none,n/a,n/a,no for order,n/a,D,low if left,不插入 Gemini 成三模型表,
MO-060,scripts/analyze_math16_pilot02_qwen4b_vs_qwen9b_tier1_paired.py,McNemar / bootstrap analysis script,python_analysis,4B vs 9B statistical direction,n/a,none,n/a,n/a,no,writes docs/experiments/results/... (F),D,critical if used to 'fix order' — would touch frozen analysis,不為呈現序重跑或改腳本統計方向,分析腳本；輸出在 results/** → F。
MO-061,docs/決賽文件/實驗結果文件/20260724_Math16/01_math16_pilot02_final_report_v13.md,Abstract/正文中『為何 4B 有 eligible 而 9B/Gemini 為 0』因果敘事,markdown_causal_narrative,causal/contrast order (not presentation ranking),retain research logic,none,n/a,no,no,n/a,E,medium if mechanically rewritten to G→9→4 and loses causal focus,因果句不因全域序重寫,
MO-062,docs/決賽文件/實驗結果文件/20260724_Math16/archive_or_working_notes/04_math16_pilot02_final_result_interpretation.md,Gemini-only interpretation timeline,markdown_archive,Gemini process timeline,retain,none,n/a,no,no,n/a,F,none — archive note,不修改,archive_or_working_notes；歷史詮釋。
MO-063,docs/決賽文件/實驗結果文件/20260724_Math16/archive_or_working_notes/05_math16_pilot02_integrated_results_report_v1.md,archived duplicate of integrated report,markdown_archive,same as live integrated (G→4→9),do not edit archive,none,n/a,no,no,n/a,F,none — forbidden as historical duplicate,確認未被改動,正式 package 內 archive；禁止修改。現行整合報告以 experiments/reports 那份為 A。
MO-064,docs/experiments/reports/math16_pilot02_final_report_v1.md,superseded final report,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-065,docs/experiments/reports/math16_pilot02_final_report_v11.md,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
MO-066,docs/experiments/reports/math16_pilot02_final_report_v12.md,superseded,historical_or_frozen,various historical,forbidden to modify,none,n/a,n/a,no,n/a,F,forbidden,git status 確認未改,歷史／frozen；禁止為呈現序修改。
