scope_id,path,classification,amendments,role,modification,source_of_truth,sync_copies,batch,verification,was_missing_from_prior_combined_6A,notes,jury_role,e_link_batch,e_link_insertion,fig4_chain_step
S011,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/poster_and_oral_figure_order.md,A,both,poster_oral_governance,Oral trio order G→9→4; numeric alignment,presentation_claims,none,1,oral order G→9→4,no,,n/a,,,
S012,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/core_figure_spec.json,A,both,figure_spec_json,x_axis/exact_data key order G→9→4; numeric 79/85; Fig3 17; Fig4 amended stats fields if present,presentation_claims,none,1,"list(keys) G,9B,4B; 79 not 78",yes,PRIOR COMBINED OMISSION from formal A6 list,n/a,,,
S013,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/figure_data_tables.json,A,both,figure_data_tables,Reorder model keys G→9→4; 4B baseline 79; FAIL 241; Fig3 poly 17; Fig4 amended overall,presentation_claims (NOT extract_* from frozen results),none,1,keys G→9→4; pass_cells 79; poly 17,yes,PRIOR COMBINED OMISSION from formal A6 list,n/a,,,
S014,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/source_traceability.json,A,both,source_traceability_presentation,Presentation key order G→9→4; labels may cite 79 presentation figures; paths still point at frozen evidence without editing it,presentation_claims,none,1,key order; no write into results/**,yes,,n/a,,,
S015,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/figure_spec_report.md,B,baseline79,figure_spec_report,Update numeric summaries 79/85/Fig3 17/Fig4 amended stats; keep Fig3/4 two-model wording,presentation_claims,none,1,no stale 78/26/193/p=0.0106 as live,yes,,n/a,,,
S016,docs/experiments/presentation/math16_pilot02_one_pager_v23/one_pager_v23_manifest.json,A,both,one_pager_manifest,Replace primary/posthoc 83/84 fields with 79→85 rescue=6; model presentation order if listed,presentation_claims,none,4,manifest has 79→85 rescue=6; no 83/84 headline fields,yes,PRIOR COMBINED OMISSION,n/a,,,
S017,docs/experiments/presentation/math16_pilot02_poster_v11/poster_v11_build_report.md,B,baseline79,poster_build_report,Document 79→85 rescue=6; Primary demoted note,presentation_claims,none,4,build report matches rendered poster claims,yes,,n/a,,,
S018,docs/experiments/presentation/math16_pilot02_poster_v11/poster_v11_manifest.json,D,both,poster_manifest,Update on regen; cards/order metadata if present,poster builder output,none,4,manifest hashes/metadata after regen,yes,,n/a,,,
S019,docs/experiments/presentation/math16_pilot02_one_pager_v23/one_pager_v23_build_report.md,B,baseline79,one_pager_build_report,Record 79→85 rescue=6 presentation claims after regen,presentation_claims,none,4,matches one-pager render,yes,,n/a,,,
S020,scripts/build_math16_pilot02_core_figures_v1.py,F,none,core_figures_generator_frozen,DO NOT MODIFY — bound to frozen_numeric_claims asserts (78),frozen claims (historical rebuild only),n/a,n/a,git status shows unmodified,n/a,Differential treatment: frozen evidence-coupled generator,n/a,,,
S021,scripts/render_math16_pilot02_core_figures_amendment_v1.py,D,both,core_figures_amendment_renderer_NEW,CREATE in Batch 0/2; read presentation_claims only; write staging then promote,presentation_claims_v1.json,n/a,2,does not import/assert frozen_numeric_claims,n/a,Replacement path for core figure regen,n/a,,,
S022,scripts/build_math16_pilot02_one_pager_v23.py,D,both,one_pager_presentation_generator,MAY MODIFY: cards G→9→4; 79→85; import presentation_claims; MUST NOT read/write frozen evidence/results,presentation_claims,n/a,4,no FROZEN_CLAIMS_PATH; no results/** writes; output G→9→4 + 79/85,n/a,Presentation assembly layer — allowed to edit,n/a,,,
S023,scripts/build_math16_pilot02_poster_v11.py,D,both,poster_presentation_generator,MAY MODIFY: cards/prose G→9→4; 79→85; presentation_claims only; no frozen evidence I/O,presentation_claims,n/a,4,same as one-pager,n/a,,n/a,,,
S024,scripts/extract_math16_pilot02_figure_data.py,F,none,figure_data_extractor_frozen,DO NOT MODIFY — extracts from results/** (78 world),results/**,n/a,n/a,unmodified,n/a,,n/a,,,
S025,docs/experiments/visualization/math16_pilot02_amendment_layer_v1/presentation_claims_v1.json,D,both,presentation_claims_SOT,CREATE Batch 0; numbers+order+colors; NOT_raw_evidence,Correction Note + decision record + model-order plan,n/a,0,contains model_order G→9→4; baseline 79; final 85; rescue 6; amended stats,n/a,,n/a,,,
S026,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_01_baseline_overall.svg,D,both,fig1_svg,combined remake 79+G94,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,no,presentation asset,n/a,,,
S027,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_01_baseline_overall.png,D,both,fig1_png,regen from SVG,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,no,presentation asset,n/a,,,
S028,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_02_prompt_conditions.svg,D,model_order,fig2_svg,reorder only,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,no,presentation asset,n/a,,,
S029,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_02_prompt_conditions.png,D,model_order,fig2_png,regen,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,no,presentation asset,n/a,,,
S030,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_03_family_breakdown.svg,D,baseline79,fig3_svg,16→17 only; keep 4B|9B,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,yes,presentation asset,n/a,,,
S031,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_03_family_breakdown.png,D,baseline79,fig3_png,regen,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,yes,presentation asset,n/a,,,
S032,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_04_tier1_paired_analysis.svg,D,baseline79,fig4_svg,preserve WT amended stats; no structure change,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,yes,presentation asset,n/a,,,1_canonical_amended_svg_SOT
S033,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_04_tier1_paired_analysis.png,D,baseline79,fig4_png,Batch 3: regenerate PNG from amended SVG then validate before copy-forward,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,yes,CLOSED: PNG stale vs WT SVG (git clean PNG; SVG M with 27/192/+22/0.015440). Export PNG FROM SVG; FORBIDDEN to run frozen core_figures builder.,n/a,,,2_regenerated_png_from_svg
S034,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_05_healer_eligibility_boundary.svg,D,both,fig5_svg,79→85+rescue6+G94; FAIL 241,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,no,presentation asset,n/a,,,
S035,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_05_healer_eligibility_boundary.png,D,both,fig5_png,regen,presentation_claims + amendment renderer (Fig4: WT SVG),PNG/package copies via Batches 4–5,3,per figure checklist in plan §4,no,presentation asset,n/a,,,
S036,docs/experiments/presentation/math16_pilot02_one_pager_v23/math16_pilot02_one_pager_v23.png,D,both,one_pager_png,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S037,docs/experiments/presentation/math16_pilot02_one_pager_v23/math16_pilot02_one_pager_v23.pdf,D,both,one_pager_pdf,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S038,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig1_compact_v23.png,D,both,op_fig1_compact,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S039,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig3_compact_table_v23.png,D,baseline79,op_fig3_compact,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S040,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig4_compact_v23.png,D,baseline79,op_fig4_compact,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,4_compact_one_pager
S041,docs/experiments/presentation/math16_pilot02_one_pager_v23/assets/fig5_compact_v23.png,D,both,op_fig5_compact,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S042,docs/experiments/presentation/math16_pilot02_poster_v11/math16_pilot02_poster_v11.png,D,both,poster_png,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S043,docs/experiments/presentation/math16_pilot02_poster_v11/math16_pilot02_poster_v11.pdf,D,both,poster_pdf,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S044,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig1_compact_v11.png,D,both,po_fig1,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S045,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig2_compact_v11.png,D,model_order,po_fig2,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S046,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig3_compact_v11.png,D,baseline79,po_fig3,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S047,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig4_compact_v11.png,D,baseline79,po_fig4,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,4_compact_poster
S048,docs/experiments/presentation/math16_pilot02_poster_v11/assets/fig5_compact_v11.png,D,both,po_fig5,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,4,matches SOT render,partial,presentation asset,n/a,,,
S049,docs/決賽文件/實驗結果文件/20260724_Math16/02_math16_pilot02_one_pager_v23.pdf,D,both,finals_op_pdf,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S050,docs/決賽文件/實驗結果文件/20260724_Math16/03_math16_pilot02_poster_v11.pdf,D,both,finals_po_pdf,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S051,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_01_baseline_overall.png,D,both,finals_fig1,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S052,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_02_prompt_conditions.png,D,model_order,finals_fig2,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S053,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_03_family_breakdown.png,D,baseline79,finals_fig3,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S054,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_04_tier1_paired_analysis.png,D,baseline79,finals_fig4,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,6_finals_package_copy
S055,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/figure_05_healer_eligibility_boundary.png,D,both,finals_fig5,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S056,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/02_math16_pilot02_one_pager_v23.png,D,both,finals_op_png,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S057,docs/決賽文件/實驗結果文件/20260724_Math16/supporting_assets/07_core_figures_v1/math16_pilot02_poster_v11.png,D,both,finals_po_png,regen/copy-forward per asset map,canonical visualization SVG / presentation builders,see copy-forward chain,5,matches SOT render,partial,presentation asset,n/a,,,
S058,docs/決賽文件/實驗結果文件/20260724_Math16/README.md,E,none,correction_note_link_only,Batch 7 ONLY: add Correction Note link; do not mix with Batch 6 numeric edits; do not rewrite historical numbers,math16_baseline_correction_note_v1.md,none,7,link present; numbers unchanged,n/a,optional one-line Correction Note pointer,n/a,7,"After 權威性交付聲明 blockquote, or new Baseline Correction bullet in reading-order section",
S059,docs/experiments/reports/math16_pilot02_final_report_v1.md,E,none,correction_note_link_only,Batch 7 ONLY: add Correction Note link; do not mix with Batch 6 numeric edits; do not rewrite historical numbers,math16_baseline_correction_note_v1.md,none,7,link present; numbers unchanged,n/a,superseded FR,n/a,7,Immediately under H1 — historical banner + link; body numbers unchanged,
S060,docs/experiments/reports/math16_pilot02_final_report_v11.md,E,none,correction_note_link_only,Batch 7 ONLY: add Correction Note link; do not mix with Batch 6 numeric edits; do not rewrite historical numbers,math16_baseline_correction_note_v1.md,none,7,link present; numbers unchanged,n/a,superseded FR,n/a,7,Immediately under H1 — historical banner + link,
S061,docs/experiments/reports/math16_pilot02_final_report_v12.md,E,none,correction_note_link_only,Batch 7 ONLY: add Correction Note link; do not mix with Batch 6 numeric edits; do not rewrite historical numbers,math16_baseline_correction_note_v1.md,none,7,link present; numbers unchanged,n/a,superseded FR,n/a,7,Immediately under H1 — historical banner + link,
S062,docs/experiments/reports/math16_jury_risk_review_v1.md,E,none,correction_note_link_only,Batch 7 ONLY: add Correction Note link; do not mix with Batch 6 numeric edits; do not rewrite historical numbers,math16_baseline_correction_note_v1.md,none,7,link present; numbers unchanged,n/a,historical risk review,n/a,7,Immediately under H1 — historical banner + link,
S063,docs/experiments/reports/healerboundary_final_evidence_gap_decision_v1.md,E,none,correction_note_link_only,Batch 7 ONLY: add Correction Note link; do not mix with Batch 6 numeric edits; do not rewrite historical numbers,math16_baseline_correction_note_v1.md,none,7,link present; numbers unchanged,n/a,historical decision,n/a,7,Immediately under H1 — historical banner + link,
S064,docs/experiments/reports/math16_baseline_correction_note_v1.md,F,none,correction_note_SOT_already_exists,Do not rewrite during execution; cite as SOT,self,n/a,n/a,unchanged except if separately authorized,n/a,,n/a,,,
S065,docs/決賽文件/實驗結果文件/20260724_Math16/archive_or_working_notes/05_math16_pilot02_integrated_results_report_v1.md,F,none,archive_integrated_duplicate,DO NOT EDIT,historical archive within package,live integrated is experiments/reports copy,n/a,untouched,n/a,,n/a,,,
S066,docs/決賽文件/實驗結果文件/20260724_Math16/archive_or_working_notes/04_math16_pilot02_final_result_interpretation.md,F,none,archive_interpretation,DO NOT EDIT,archive,n/a,n/a,untouched,n/a,,n/a,,,
S067,docs/experiments/reports/math16_pilot02_final_report_v13.md,G,excluded,plain_path_v13_excluded,EXCLUDED — accept drift from canonical 20260724,n/a,MUST NOT sync from canonical,n/a,zero diff this amendment,n/a,Explicit user exclusion; decision-record §11.1 confirms superseded snapshot,n/a,,,
S068,docs/決賽文件/實驗結果文件/20260722_Math16/**,G,excluded,excluded_archive_package,"EXCLUDED entirely — no edit, no link, no regen",n/a,n/a,n/a,directory zero diff,n/a,,n/a,,,
S069,docs/experiments/results/**,G,excluded,excluded_results_tree,EXCLUDED — including tier1 paired analysis outputs; amended stats live in presentation_claims + Fig4 only,frozen evidence,n/a,n/a,results/** zero diff,n/a,Supersedes decision-record List A #10 regen-of-results,n/a,,,
S070,docs/experiments/milestones/math16_pilot02_evidence_complete_v1/frozen_numeric_claims.json,F,none,frozen_claims,NEVER MODIFY,self (frozen),n/a,n/a,unmodified,n/a,,n/a,,,
S071,docs/experiments/reports/math16_healer_rule_provenance_audit_v1.md,F,none,frozen_provenance_audit,NEVER MODIFY (self-imposed no-edit),self,n/a,n/a,unmodified,n/a,,n/a,,,
S072,docs/experiments/visualization/math16_pilot02_core_figures_v1/figure_06_healer_concept_zones.svg,F,none,fig6_unaffected,no change,self,optional package leave,n/a,unchanged,n/a,,n/a,,,
S073,docs/決賽文件/實驗結果文件/20260724_Math16/05_math16_pilot02_appendices_v1.md,E,none,appendices,Batch 7 ONLY: add Correction Note link; do not mix with Batch 6 numeric edits; do not rewrite historical numbers,Correction Note,none,7,no silent 78→79 without link policy,yes,current-facing package file; mostly 4B-centric,n/a,7,"After title/front-matter, before first appendix body — one-line Correction Note pointer",
