canonical_cell_id,condition,family,task_id,seed,baseline_outcome,primary_eligible,candidate_count,eligibility_rejection_reason,classification
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab1__seed_2026071301,ab1,polynomial,ce115_calc_polynomial_division_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2g__seed_2026071301,ab2g,polynomial,ce115_calc_polynomial_division_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d__seed_2026071301,ab2d,polynomial,ce115_calc_polynomial_division_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab1__seed_2026071301,ab1,polynomial,ce115_calc_polynomial_factor_roots_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2d__seed_2026071301,ab2d,polynomial,ce115_calc_polynomial_factor_roots_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,polynomial,ce115_calc_polynomial_factor_roots_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026071301,ab1,radical,ce111_q10_ordered_quadratic_roots_radical,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2g__seed_2026071301,ab2g,radical,ce111_q10_ordered_quadratic_roots_radical,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2d__seed_2026071301,ab2d,radical,ce111_q10_ordered_quadratic_roots_radical,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,radical,ce111_q10_ordered_quadratic_roots_radical,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab1__seed_2026071301,ab1,radical,ce112_q04_radical_simplification,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab2g__seed_2026071301,ab2g,radical,ce112_q04_radical_simplification,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab2d__seed_2026071301,ab2d,radical,ce112_q04_radical_simplification,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,radical,ce112_q04_radical_simplification,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q11_rationalize_denominator__ab1__seed_2026071301,ab1,radical,ce113_q11_rationalize_denominator,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q11_rationalize_denominator__ab2g__seed_2026071301,ab2g,radical,ce113_q11_rationalize_denominator,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q11_rationalize_denominator__ab2d__seed_2026071301,ab2d,radical,ce113_q11_rationalize_denominator,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071301,ab2d,radical,ce115_calc_radical_simplification_l1,2026071301,FAILED,True,1,N/A (ELIGIBLE),UNIQUE_CANDIDATE_PRIMARY_ELIGIBLE
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,radical,ce115_calc_radical_simplification_l1,2026071301,FAILED,True,1,N/A (ELIGIBLE),UNIQUE_CANDIDATE_PRIMARY_ELIGIBLE
qwen3_5_4b__ce111_q05_exact_fraction_expression__ab1__seed_2026071301,ab1,fraction,ce111_q05_exact_fraction_expression,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q05_exact_fraction_expression__ab2d__seed_2026071301,ab2d,fraction,ce111_q05_exact_fraction_expression,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q05_exact_fraction_expression__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,fraction,ce111_q05_exact_fraction_expression,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q12_independent_probability_fraction__ab1__seed_2026071301,ab1,fraction,ce112_q12_independent_probability_fraction,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2g__seed_2026071301,ab2g,fraction,ce112_q12_independent_probability_fraction,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2d__seed_2026071301,ab2d,fraction,ce112_q12_independent_probability_fraction,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,fraction,ce112_q12_independent_probability_fraction,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab1__seed_2026071301,ab1,fraction,ce113_q01_negative_fraction_subtraction,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d__seed_2026071301,ab2d,fraction,ce113_q01_negative_fraction_subtraction,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab1__seed_2026071301,ab1,fraction,ce115_calc_exact_rational_expression_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2g__seed_2026071301,ab2g,fraction,ce115_calc_exact_rational_expression_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071301,ab2d,fraction,ce115_calc_exact_rational_expression_l1,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q03_prime_factor_selection__ab1__seed_2026072001,ab1,integer,ce111_q03_prime_factor_selection,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q03_prime_factor_selection__ab2d__seed_2026072001,ab2d,integer,ce111_q03_prime_factor_selection,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q01_negative_integer_power__ab2d__seed_2026072001,ab2d,integer,ce112_q01_negative_integer_power,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab1__seed_2026072001,ab1,integer,ce112_q09_divisor_multiple_intersection,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2g__seed_2026072001,ab2g,integer,ce112_q09_divisor_multiple_intersection,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2d__seed_2026072001,ab2d,integer,ce112_q09_divisor_multiple_intersection,2026072001,FAILED,True,1,N/A (ELIGIBLE),UNIQUE_CANDIDATE_PRIMARY_ELIGIBLE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026072001,ab1,integer,ce111_nonchoice_q01_part1_exponential_growth,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026072001,ab2g,integer,ce111_nonchoice_q01_part1_exponential_growth,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026072001,ab2d,integer,ce111_nonchoice_q01_part1_exponential_growth,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2g__seed_2026072001,ab2g,polynomial,ce111_q02_polynomial_division_remainder,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d__seed_2026072001,ab2d,polynomial,ce111_q02_polynomial_division_remainder,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,polynomial,ce111_q02_polynomial_division_remainder,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026072001,ab2g,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab1__seed_2026072001,ab1,polynomial,ce115_calc_polynomial_division_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2g__seed_2026072001,ab2g,polynomial,ce115_calc_polynomial_division_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d__seed_2026072001,ab2d,polynomial,ce115_calc_polynomial_division_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab1__seed_2026072001,ab1,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2g__seed_2026072001,ab2g,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2d__seed_2026072001,ab2d,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072001,FAILED,False,0,No extractable candidate source for frozen healer.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026072001,ab1,radical,ce111_q10_ordered_quadratic_roots_radical,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2g__seed_2026072001,ab2g,radical,ce111_q10_ordered_quadratic_roots_radical,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2d__seed_2026072001,ab2d,radical,ce111_q10_ordered_quadratic_roots_radical,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,radical,ce111_q10_ordered_quadratic_roots_radical,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab1__seed_2026072001,ab1,radical,ce112_q04_radical_simplification,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab2g__seed_2026072001,ab2g,radical,ce112_q04_radical_simplification,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab2d__seed_2026072001,ab2d,radical,ce112_q04_radical_simplification,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q04_radical_simplification__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,radical,ce112_q04_radical_simplification,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q11_rationalize_denominator__ab1__seed_2026072001,ab1,radical,ce113_q11_rationalize_denominator,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q11_rationalize_denominator__ab2g__seed_2026072001,ab2g,radical,ce113_q11_rationalize_denominator,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q11_rationalize_denominator__ab2d__seed_2026072001,ab2d,radical,ce113_q11_rationalize_denominator,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026072001,ab2d,radical,ce115_calc_radical_simplification_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,radical,ce115_calc_radical_simplification_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q05_exact_fraction_expression__ab1__seed_2026072001,ab1,fraction,ce111_q05_exact_fraction_expression,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q05_exact_fraction_expression__ab2g__seed_2026072001,ab2g,fraction,ce111_q05_exact_fraction_expression,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q05_exact_fraction_expression__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,fraction,ce111_q05_exact_fraction_expression,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q12_independent_probability_fraction__ab1__seed_2026072001,ab1,fraction,ce112_q12_independent_probability_fraction,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2g__seed_2026072001,ab2g,fraction,ce112_q12_independent_probability_fraction,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q12_independent_probability_fraction__ab2d__seed_2026072001,ab2d,fraction,ce112_q12_independent_probability_fraction,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab1__seed_2026072001,ab1,fraction,ce113_q01_negative_fraction_subtraction,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026072001,ab2g,fraction,ce113_q01_negative_fraction_subtraction,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce113_q01_negative_fraction_subtraction__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,fraction,ce113_q01_negative_fraction_subtraction,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab1__seed_2026072001,ab1,fraction,ce115_calc_exact_rational_expression_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2g__seed_2026072001,ab2g,fraction,ce115_calc_exact_rational_expression_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026072001,ab2d,fraction,ce115_calc_exact_rational_expression_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d_spec_v2__seed_2026072001,ab2d_spec_v2,fraction,ce115_calc_exact_rational_expression_l1,2026072001,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q03_prime_factor_selection__ab1__seed_2026072002,ab1,integer,ce111_q03_prime_factor_selection,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q03_prime_factor_selection__ab2g__seed_2026072002,ab2g,integer,ce111_q03_prime_factor_selection,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q03_prime_factor_selection__ab2d__seed_2026072002,ab2d,integer,ce111_q03_prime_factor_selection,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q01_negative_integer_power__ab2d__seed_2026072002,ab2d,integer,ce112_q01_negative_integer_power,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab1__seed_2026072002,ab1,integer,ce112_q09_divisor_multiple_intersection,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2g__seed_2026072002,ab2g,integer,ce112_q09_divisor_multiple_intersection,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2d__seed_2026072002,ab2d,integer,ce112_q09_divisor_multiple_intersection,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026072002,ab1,integer,ce111_nonchoice_q01_part1_exponential_growth,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026072002,ab2g,integer,ce111_nonchoice_q01_part1_exponential_growth,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026072002,ab2d,integer,ce111_nonchoice_q01_part1_exponential_growth,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab1__seed_2026072002,ab1,polynomial,ce111_q02_polynomial_division_remainder,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2g__seed_2026072002,ab2g,polynomial,ce111_q02_polynomial_division_remainder,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d__seed_2026072002,ab2d,polynomial,ce111_q02_polynomial_division_remainder,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d_spec_v2__seed_2026072002,ab2d_spec_v2,polynomial,ce111_q02_polynomial_division_remainder,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab1__seed_2026072002,ab1,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026072002,ab2g,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2d__seed_2026072002,ab2d,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab1__seed_2026072002,ab1,polynomial,ce115_calc_polynomial_division_l1,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d__seed_2026072002,ab2d,polynomial,ce115_calc_polynomial_division_l1,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab1__seed_2026072002,ab1,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2g__seed_2026072002,ab2g,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2d__seed_2026072002,ab2d,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce115_calc_polynomial_factor_roots_l1__ab2d_spec_v2__seed_2026072002,ab2d_spec_v2,polynomial,ce115_calc_polynomial_factor_roots_l1,2026072002,FAILED,True,1,N/A (ELIGIBLE),UNIQUE_CANDIDATE_PRIMARY_ELIGIBLE
qwen3_5_4b__ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026072002,ab1,radical,ce111_q10_ordered_quadratic_roots_radical,2026072002,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
